epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,3.74546255e-07,,749
,,,3.74546255e-07,,749
,,,3.74546255e-07,,749
,,,3.74546255e-07,,749
1,749.0,0.4921875,,3.7454626067301433e-07,749
,,,3.99546005e-07,,799
,,,3.99546005e-07,,799
,,,3.99546005e-07,,799
,,,3.99546005e-07,,799
1,799.0,0.040771484375,,3.995459962879977e-07,799
,,,4.2454575500000003e-07,,849
,,,4.2454575500000003e-07,,849
,,,4.2454575500000003e-07,,849
,,,4.2454575500000003e-07,,849
2,849.0,0.1474609375,,4.245457603246905e-07,849
,,,4.4954550500000005e-07,,899
,,,4.4954550500000005e-07,,899
,,,4.4954550500000005e-07,,899
,,,4.4954550500000005e-07,,899
2,899.0,0.55859375,,4.4954549593967386e-07,899
,,,4.74545255e-07,,949
,,,4.74545255e-07,,949
,,,4.74545255e-07,,949
,,,4.74545255e-07,,949
2,949.0,0.310546875,,4.7454525997636665e-07,949
,,,4.99545005e-07,,999
,,,4.99545005e-07,,999
,,,4.99545005e-07,,999
,,,4.99545005e-07,,999
